DrugName,ChemicalComposition,Description
Bisoprolol, C18H31NO4,A beta-1 adrenergic blocking agent used to prevent myocardial infarction and heart failure and to treat mild to moderate hypertension.
Bisoxatin, C20H15NO4,For use in the treatment of constipation in the absence of bowel obstruction and for surgical preparation of the colon .
Bisphenol A diglycidyl ether, C21H24O4,
Bithionol, C12H6Cl4O2S,"Bithionol, formerly marketed as an active ingredient in various topical drug products, was shown to be a potent photosensitizer with the potential to cause serious skin disorders. Approvals of the..."
Bivalirudin, C98H138N24O33,A direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Bleomycin, C55H84N17O21S3,"A chemotherapy agent used to treat various malignancies, including head and neck malignancy, lymphoma, and testicular tumors, among others."
Boceprevir, C27H45N5O5,A hepatitis C virus NS3/4A protease inhibitor used in combination with other medications to treat chronic hepatitis C genotype 1 infection. Boceprevir is not indicated as monotherapy.
Boric acid, BH3O3,No FDA- or EMA-approved therapeutic indications on its own.
Bortezomib, C19H25BN4O4,A proteasome inhibitor used to treat multiple myeloma in patients who have not been successfully treated with at least two previous therapies.
Bortezomib D-mannitol, C25H35BN4O8,
Boscalid, C18H12Cl2N2O,"Boscalid has been investigated for the treatment of OSDI, Glaucoma, Staining, Schirmers, and Disease Severity, among others."
Bosentan, C27H29N5O6S,A dual endothelin receptor antagonist used to treat pulmonary arterial hypertension.
Bosutinib, C26H29Cl2N5O3,"An antineoplastic agent used for the treatment of chronic, accelerated, or blast phase Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML) in adults with inadequate clinical response to other treatments."
Bretylium, C11H17BrN,"A norepinephrine release inhibitor used for the prophylaxis and therapy of ventricular fibrillation, as well as the treatment of life-threatening ventricular arrhythmias."
Brexanolone, C21H34O2,"Brexanolone is a synthetic neuroactive steroid gamma-aminobutyric acid A (GABA(a)) receptor positive modulator indicated for the treatment of postpartum depression (PPD) in adult women [FDA Label][A176080, A176083, F4063, F4066, F4072]."
Brexpiprazole, C25H27N3O2S,"A serotonin–dopamine activity modulator used in the treatment of major depressive disorder as an adjunct, schizophrenia, and agitation associated with dementia due to Alzheimer’s disease."
Brigatinib, C29H39ClN7O2P,An anaplastic lymphoma kinase inhibitor used to treat anaplastic lymphoma kinase positive metastatic non small cell lung cancer.
Brilliant blue G, C47H48N3NaO7S2,A disclosing agent used in ophthalmological surgery to stain the internal limiting membrane (ILM).
Betahistine, C8H12N2,An antivertigo agent used for the reduction of episodes of vertigo association with Ménière's disease.
Betaine, C5H11NO2,A methyl group donor used for the treatment of homocystinuria to decrease elevated homocysteine blood levels.
Betamethasone, C22H29FO5,"A systemic corticosteroid used to relieve inflammation in various conditions, including but not limited to allergic states, dermatologic disorders, gastrointestinal diseases, and hematological disorders."
Betamethasone phosphate, C22H30FO8P,A fast acting ester prodrug of a corticosteroid used to treat inflammatory conditions.
Betaxolol, C18H29NO3,A cardioselective beta blocking agent commonly used to treat hypertension and elevated intraocular pressure (when administered ophthalmically).
Betazole, C5H9N3,For use clinically to test gastric secretory function.
Bethanechol, C7H17N2O2,A muscarinic agonist used to treat postoperative and postpartum nonobstructive functional urinary retention and neurogenic atony of the bladder with retention.
Bethanidine, C10H15N3,For the treatment of hypertension.
Betiatide, C15H17N3O6S,
Betrixaban, C23H22ClN5O3,A Factor Xa inhibitor used for prophylaxis of venous thromboembolism in hospitalized patients.
Betulinic Acid, C30H48O3,Betulinic Acid has been used in trials studying the treatment of Dysplastic Nevus Syndrome.
Bexagliflozin, C24H29ClO7,A sodium-glucose co-transporter 2 inhibitor used to improve glycemic control in patients with type 2 diabetes mellitus.
Bexarotene, C24H28O2,A retinoid drug used for cutaneous manifestations of T-cell lymphoma in patients who have not responded well to previous systemic therapy.
Bezafibrate, C19H20ClNO4,"A lipid-lowering fibrate used in the management of primary and secondary hyperlipidaemia, when there is a lack of clinical improvement following lifestyle modifications or correction of the underlying disorder."
Bicalutamide, C18H14F4N2O4S,An androgen receptor inhibitor used to treat Stage D2 metastatic carcinoma of the prostate.
Bicisate, C12H24N2O4S2,A compound complexed with technetium 99 used in single photon emission computerized tomography to localize a stroke.
Bictegravir, C21H18F3N3O5,An integrase inhibitor used to treat HIV infections.
Bifonazole, C22H18N2,"An azole antifungal drug used to treat fungal skin infections, such as dermatomycosis."
Biguanide, C2H7N5,Biguanide has been investigated for the treatment of Diabetes Mellitus.
Bilastine, C28H37N3O3,A peripheral histamine H1-antagonist used to treat seasonal allergic rhinitis and chronic spontaneous urticaria.
Bimatoprost, C25H37NO4,A prostaglandin analog used to treat hypotrichosis of the eyelashes and intraocular pressure in open angle glaucoma or ocular hypertension.
Binimetinib, C17H15BrF2N4O3,A medication used to treat metastatic melanoma with specific mutations.
Bioallethrin, C19H26O3,Bioallethrin was used for lice and scabies infestation. Other pyrethroids are now used in place of bioallethrin.
Biotin, C10H16N2O3S,A B-complex vitamin found in many multivitamin products.
Biperiden, C21H29NO,A muscarinic receptor antagonist used to treat parkinsonism and control extrapyramidal side effects of neuroleptic drugs.
Baloxavir marboxil, C27H23F2N3O7S,A polymerase acidic endonuclease inhibitor used to treat uncomplicated influenza.
Balsalazide, C17H15N3O6,An aminosalicylate used to treat ulcerative colitis.
Baricitinib, C16H17N7O2S,A Janus kinase inhibitor used to treat moderate to severe rheumatoid arthritis that has responded poorly to at least one TNF antagonist.
Barium sulfate, BaO4S,A contrast agent used for CT scans of the gastrointestinal tract.
Bazedoxifene, C30H34N2O3,A selective estrogen receptor modulator (SERM) used to treat moderate to severe vasomotor symptoms in menopause and osteoporosis alone or in combination with conjugated estrogens.
Beclomethasone dipropionate, C28H37ClO7,An inhaled corticosteroid used as maintenance treatment in the prophylaxis of asthma attacks.
Bedaquiline, C32H31BrN2O2,A diarylquinoline antimycobacterial used in combination with other antibacterials to treat pulmonary multidrug resistant tuberculosis (MDR-TB).
Belinostat, C15H14N2O4S,A histone deacetylase (HDAC) inhibitor used for the treatment of patients with relapsed or refractory peripheral T-cell lymphoma (PTCL).
Belumosudil, C26H24N6O2,An oral inhibitor of rho-associated coiled-coil-containing protein kinases (ROCK) used in the treatment of chronic graft-versus-host disease (GVHD).
Belzutifan, C17H12F3NO4S,An inhibitor of hypoxia-inducible factor 2α used as an antineoplastic in the treatment of certain cancers associated with von Hippel-Lindau (VHL) disease.
Bemiparin,,An ultra-low molecular weight heparin (ultra-LMWH) used to prevent thromboembolism following surgery and extracorporeal clotting during dialysis.
Bemotrizinol, C38H49N3O5,An ingredient used in sunscreen to block UVA and UVB radiation.
Bempedoic acid, C19H36O5,A drug used in conjunction with lifestyle modification and/or other agents for the treatment of refractory hypercholesterolemia.
Benazepril, C24H28N2O5,An ACE inhibitor prodrug used to treat hypertension.
Bendamustine, C16H21Cl2N3O2,An antineoplastic nitrogen mustard agent used in the treatment of indolent B-cell non-Hodgkin lymphoma (NHL) that has progressed following rituximab therapy.
Bendazac, C16H14N2O3,"A non-steroidal anti-inflammatory drug (NSAID) available as an eye drop for the treatment of cataracts and as a topical cream for the treatment of dermatitis, eczema, hives, skin ulcers and other inflammatory skin conditions."
Bendroflumethiazide, C15H14F3N3O4S2,A diuretic used to suppress lactation and to treat hypertension and edema.
Benfotiamine, C19H23N4O6PS,"A derivative of thiamine thought to be useful in the management of diabetic neuropathy, although evidence is lacking."
Benorilate, C17H15NO5,
Benoxaprofen, C16H12ClNO3,"The use of benoxaprofen, formerly marketed as Oraflex tablets, was associated with fatal cholestatic jaundice among other serious adverse reactions. The holder of the approved application voluntarily withdrew Oraflex tablets..."
Benperidol, C22H24FN3O2,"A neuroleptic butyrophenone derivative indicated in the treatment of psychoses, manic episodes, and psychomotor agitation."
Benserazide, C10H15N3O5,"A medication used to treat Parkinson's disease, parkinsonism, and restless leg syndrome."
Bentonite,,
Bentoquatam,,"Used to prevent or reduce the severity of allergic contact dermatitis due to urushiol, the allergenic resin of poison ivy, poison oak, and poison sumac."
Benzalkonium,,An antiseptic agent used as a preservative in medications or as a disinfectant in cleaning products.
Calcitriol, C27H44O3,An active metabolite of vitamin D that is used to treat hyperparathyroidism and is also used in dialysis patients to combat hypocalcemia.
Calcium acetate, C4H6CaO4,A phosphate binder used in patients with end-stage renal disease (ESRD) to prevent elevated phosphate levels and resulting ectopic calcification and secondary hyperparathyroidism.
Calcium alginate,,
Calcium ascorbate, C12H14CaO12,
Calcium carbimide, CCaN2,"Calcium carbimide has not been approved by the FDA but the intended indication is for the treatment of alcoholism. This medication was marketed in Canada, United Kingdom and Europe under..."
Calcium carbonate, CCaO3,"An ionic compound used as a calcium supplement or antacid used for the symptomatic relief of heartburn, acid indigestion, and sour stomach."
Calcium chloride, CaCl2,"An ionic compound used for the treatment of hypocalcemia and hyperkalemia, and as an antidote to magnesium intoxication due to overdosage of magnesium sulfate."
Calcium citrate, C12H10Ca3O14,An ingredient found in a variety of supplements and vitamins.
Calcium glubionate anhydrous, C18H32CaO19,"A calcium salt indicated in the treatment of hypocalcemia, hyperkalemia, lead poisoning, and as an adjunct in the treatment of exudative skin conditions."
Calcium glucoheptonate, C14H26CaO16,A calcium supplement combined with calcium gluconate to treat hypocalcemia and maintain calcium levels.
Calcium gluconate, C12H22CaO14,"An ingredient found in a variety of supplements and vitamins, and is used to lower potassium in the blood or treat magnesium poisoning."
Calcium glycerophosphate, C3H7CaO6P,"An medication used to treat low levels of phosphate or calcium, as well as an ingredient in dental products to prevent dental caries."
Calcium lactate, C6H10CaO6,An ingredient found in a variety of nutritional products.
Calcium levulinate, C10H14CaO6,"This new application of calcium is intended for use as a food fortifier, to fortify foods like sauces, condiments, beer, beverages, soft drinks, milk and milk products, soy milk and..."
